Player,team,Pos,Age,G,GS,Yrs,AV,player_name,position,has_contract,contract_match_type,year
Josh Allen,BUF,QB,28.0,17,17.0,6,20.0,,,False,unmatched,2024
Alec Anderson,BUF,T,25.0,17,4.0,1,4.0,,,False,unmatched,2024
Joe Andreessen,BUF,LB,24.0,13,1.0,Rook,1.0,,,False,unmatched,2024
Eli Ankou,BUF,DT,30.0,2,0.0,7,0.0,,,False,unmatched,2024
Tyler Bass,BUF,K,27.0,17,0.0,4,2.0,,,False,unmatched,2024
Christian Benford,BUF,RCB,24.0,15,15.0,2,6.0,,,False,unmatched,2024
Terrel Bernard,BUF,MLB,25.0,13,13.0,2,7.0,,,False,unmatched,2024
Cole Bishop,BUF,S,22.0,16,4.0,Rook,2.0,,,False,unmatched,2024
Spencer Brown,BUF,RT,26.0,15,15.0,3,9.0,,,False,unmatched,2024
DeWayne Carter,BUF,DT,24.0,11,3.0,Rook,2.0,,,False,unmatched,2024
Lewis Cine,BUF,S,25.0,1,0.0,2,0.0,,,False,unmatched,2024
Will Clapp,BUF,OL,29.0,1,1.0,6,1.0,,,False,unmatched,2024
Kameron Cline,BUF,DE,26.0,1,0.0,4,0.0,,,False,unmatched,2024
Brandon Codrington,BUF,DB,24.0,17,0.0,Rook,1.0,,,False,unmatched,2024
Keon Coleman,BUF,WR,21.0,13,12.0,Rook,7.0,,,False,unmatched,2024
James Cook,BUF,RB,25.0,16,16.0,2,11.0,,,False,unmatched,2024
Amari Cooper,BUF,WR,30.0,8,4.0,9,3.0,,,False,unmatched,2024
Zach Davidson,BUF,TE,26.0,2,0.0,1,0.0,,,False,unmatched,2024
Ray Davis,BUF,RB,25.0,17,0.0,Rook,6.0,,,False,unmatched,2024
Dion Dawkins,BUF,LT,30.0,16,16.0,7,13.0,,,False,unmatched,2024
Branson Deen,BUF,DT,24.0,1,0.0,Rook,0.0,,,False,unmatched,2024
Rasul Douglas,BUF,LCB,29.0,15,15.0,7,5.0,,,False,unmatched,2024
David Edwards,BUF,LG,27.0,16,16.0,5,8.0,,,False,unmatched,2024
Mike Edwards,BUF,S,28.0,3,0.0,5,0.0,,,False,unmatched,2024
Kaiir Elam,BUF,CB,23.0,13,4.0,2,2.0,,,False,unmatched,2024
A.J. Epenesa,BUF,LDE,26.0,17,13.0,4,7.0,,,False,unmatched,2024
Reid Ferguson,BUF,LS,30.0,17,0.0,7,1.0,,,False,unmatched,2024
Reggie Gilliam,BUF,FB,27.0,15,0.0,4,0.0,,,False,unmatched,2024
Richard Gouraige,BUF,OT,26.0,1,0.0,1,0.0,,,False,unmatched,2024
Tylan Grable,BUF,OT,25.0,4,1.0,Rook,1.0,,,False,unmatched,2024
Damar Hamlin,BUF,SS,26.0,14,14.0,3,5.0,,,False,unmatched,2024
Mack Hollins,BUF,WR,31.0,17,13.0,7,4.0,,,False,unmatched,2024
Ja'Marcus Ingram,BUF,CB,27.0,17,1.0,2,2.0,,,False,unmatched,2024
Kareem Jackson,BUF,S,36.0,2,0.0,14,0.0,,,False,unmatched,2024
Quinton Jefferson,BUF,DT,31.0,7,0.0,8,1.0,,,False,unmatched,2024
Austin Johnson,BUF,DT,30.0,15,1.0,8,2.0,,,False,unmatched,2024
Taron Johnson,BUF,CB,28.0,12,12.0,6,5.0,,,False,unmatched,2024
Ty Johnson,BUF,RB,27.0,17,1.0,5,5.0,,,False,unmatched,2024
Kingsley Jonathan,BUF,DE,26.0,1,0.0,2,0.0,,,False,unmatched,2024
DaQuan Jones,BUF,RDT,33.0,16,16.0,10,8.0,,,False,unmatched,2024
Dalton Kincaid,BUF,TE,25.0,13,9.0,1,5.0,,,False,unmatched,2024
Dawson Knox,BUF,TE,28.0,16,13.0,5,4.0,,,False,unmatched,2024
Cameron Lewis,BUF,DB,27.0,17,6.0,4,3.0,,,False,unmatched,2024
Zion Logue,BUF,DT,23.0,2,0.0,Rook,0.0,,,False,unmatched,2024
Sam Martin,BUF,P,34.0,17,0.0,11,2.0,,,False,unmatched,2024
Connor McGovern,BUF,C,27.0,16,16.0,4,11.0,,,False,unmatched,2024
Matt Milano,BUF,LB,30.0,4,4.0,7,2.0,,,False,unmatched,2024
Von Miller,BUF,LB,35.0,13,0.0,13,1.0,,,False,unmatched,2024
Quintin Morris,BUF,TE,25.0,16,3.0,2,0.0,,,False,unmatched,2024
Nicholas Morrow,BUF,LB,29.0,11,0.0,7,1.0,,,False,unmatched,2024
Ed Oliver,BUF,LDT,27.0,14,14.0,5,7.0,,,False,unmatched,2024
Jordan Phillips,BUF,DT,32.0,7,0.0,9,1.0,,,False,unmatched,2024
Taylor Rapp,BUF,FS,27.0,14,14.0,5,5.0,,,False,unmatched,2024
Gregory Rousseau,BUF,RDE,24.0,16,16.0,3,8.0,,,False,unmatched,2024
Curtis Samuel,BUF,WR,28.0,14,2.0,7,3.0,,,False,unmatched,2024
Khalil Shakir,BUF,WR,24.0,15,9.0,2,10.0,,,False,unmatched,2024
Tyrell Shavers,BUF,WR,25.0,3,0.0,1,1.0,,,False,unmatched,2024
Dawuane Smoot,BUF,DE,29.0,11,4.0,7,2.0,,,False,unmatched,2024
Javon Solomon,BUF,DE,23.0,14,0.0,Rook,2.0,,,False,unmatched,2024
Baylon Spector,BUF,LB,26.0,11,4.0,2,3.0,,,False,unmatched,2024
Casey Toohill,BUF,DE,28.0,14,1.0,4,2.0,,,False,unmatched,2024
O'Cyrus Torrence,BUF,RG,24.0,17,16.0,1,8.0,,,False,unmatched,2024
Mitchell Trubisky,BUF,QB,30.0,9,0.0,7,1.0,,,False,unmatched,2024
Edefuan Ulofoshio,BUF,LB,24.0,4,1.0,Rook,1.0,,,False,unmatched,2024
Marquez Valdes-Scantling,BUF,WR,30.0,6,0.0,6,0.0,,,False,unmatched,2024
Ryan Van Demark,BUF,T,26.0,14,2.0,1,2.0,,,False,unmatched,2024
Sedrick Van Pran-Granger,BUF,OL,23.0,16,1.0,Rook,2.0,,,False,unmatched,2024
Jalen Virgil,BUF,WR,26.0,7,0.0,2,0.0,,,False,unmatched,2024
Mike White,BUF,QB,29.0,1,0.0,3,0.0,,,False,unmatched,2024
Dorian Williams,BUF,RLB,23.0,17,11.0,1,6.0,,,False,unmatched,2024
Team Total,BUF,,27.0,17,,3.9,,,,False,unmatched,2024
De'Von Achane,MIA,RB,23.0,17,16.0,1,11.0,,,False,unmatched,2024
Tucker Addington,MIA,LS,27.0,3,0.0,2,0.0,,,False,unmatched,2024
Terron Armstead,MIA,LT,33.0,15,15.0,11,7.0,,,False,unmatched,2024
Jake Bailey,MIA,P,27.0,17,0.0,5,2.0,,,False,unmatched,2024
Odell Beckham Jr.,MIA,WR,32.0,9,0.0,10,0.0,,,False,unmatched,2024
Quinton Bell,MIA,LB,28.0,17,3.0,4,3.0,,,False,unmatched,2024
Braxton Berrios,MIA,WR,29.0,6,0.0,5,0.0,,,False,unmatched,2024
Ethan Bonner,MIA,CB,25.0,5,0.0,1,0.0,,,False,unmatched,2024
Tyus Bowser,MIA,LOLB,29.0,7,4.0,7,2.0,,,False,unmatched,2024
Tim Boyle,MIA,QB,30.0,2,0.0,5,1.0,,,False,unmatched,2024
Aaron Brewer,MIA,C,27.0,17,17.0,4,7.0,,,False,unmatched,2024
Jordyn Brooks,MIA,RILB,27.0,17,17.0,4,9.0,,,False,unmatched,2024
Calais Campbell,MIA,NT,38.0,17,17.0,16,9.0,,,False,unmatched,2024
Elijah Campbell,MIA,DB,29.0,17,1.0,4,2.0,,,False,unmatched,2024
Jackson Carman,MIA,T,24.0,8,1.0,3,1.0,,,False,unmatched,2024
Robbie Chosen,MIA,WR,31.0,2,0.0,8,0.0,,,False,unmatched,2024
Tanner Conner,MIA,TE,26.0,8,1.0,2,0.0,,,False,unmatched,2024
Lester Cotton,MIA,OL,28.0,11,0.0,5,1.0,,,False,unmatched,2024
River Cracraft,MIA,WR,30.0,8,0.0,6,1.0,,,False,unmatched,2024
Matt Dickerson,MIA,DE,29.0,4,0.0,6,0.0,,,False,unmatched,2024
Tyrel Dodson,MIA,LB,26.0,8,3.0,4,3.0,,,False,unmatched,2024
Grant Dubose,MIA,WR,23.0,3,0.0,1,0.0,,,False,unmatched,2024
Storm Duck,MIA,CB,24.0,14,3.0,Rook,2.0,,,False,unmatched,2024
