team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
KC,2024,180.5,42.0,255.0,32.5,16.5
BUF,2024,175.0,38.0,255.0,42.0,14.9
PHI,2024,182.0,41.0,255.0,32.0,16.1
CLE,2024,170.0,60.0,255.0,25.0,23.5
BAL,2024,185.0,35.0,255.0,35.0,13.7
NYG,2024,165.0,45.0,255.0,45.0,17.6
DAL,2024,188.0,39.0,255.0,28.0,15.3
SF,2024,180.0,42.0,255.0,33.0,16.5
LAR,2024,175.0,48.0,255.0,32.0,18.8
NO,2024,178.0,52.0,255.0,25.0,20.4
MIN,2024,182.0,41.0,255.0,32.0,16.1
NE,2024,168.0,55.0,255.0,32.0,21.6
LV,2024,180.0,46.0,255.0,29.0,18.0
MIA,2024,185.0,38.0,255.0,32.0,14.9
ARI,2024,172.0,50.0,255.0,33.0,19.6
ATL,2024,170.0,58.0,255.0,27.0,22.7
TB,2024,175.0,54.0,255.0,26.0,21.2
TEN,2024,180.0,44.0,255.0,31.0,17.3
HOU,2024,185.0,35.0,255.0,35.0,13.7
IND,2024,175.0,48.0,255.0,32.0,18.8
JAX,2024,168.0,62.0,255.0,25.0,24.3
CAR,2024,170.0,52.0,255.0,33.0,20.4
CHI,2024,172.0,55.0,255.0,28.0,21.6
CIN,2024,182.0,40.0,255.0,33.0,15.7
DET,2024,185.0,36.0,255.0,34.0,14.1
GB,2024,180.0,43.0,255.0,32.0,16.9
LAC,2024,178.0,47.0,255.0,30.0,18.4
NYJ,2024,170.0,58.0,255.0,27.0,22.7
SEA,2024,175.0,50.0,255.0,30.0,19.6
WAS,2024,168.0,60.0,255.0,27.0,23.5
DEN,2024,180.0,44.0,255.0,31.0,17.3
PIT,2024,182.0,39.0,255.0,34.0,15.3
