player_name,team,position,year,dead_cap_hit
Patrick Mahomes,KC,QB,2024.0,12.0
Deshaun Watson,CLE,QB,2024.0,18.0
Travis Kelce,KC,TE,2024.0,4.0
CeeDee Lamb,DAL,WR,2024.0,10.0
Saquon Barkley,NYG,RB,2024.0,5.0
Tyreek Hill,MIA,WR,2024.0,8.0
Kyle Walker,OL,2024,3.0,
Tom Brady,TB,QB,2023.0,0.0
Rob Gronkowski,TB,TE,2023.0,1.0
Ndamukong Suh,TB,DL,2023.0,2.0
Aaron Rodgers,NYJ,QB,2023.0,5.0
Mike Evans,TB,WR,2023.0,4.0
Marshon Lattimore,NO,DB,2023.0,3.0
Alvin Kamara,NO,RB,2023.0,2.0
George Kittle,SF,TE,2023.0,6.0
Cooper Kupp,LAR,WR,2023.0,7.0
Davante Adams,LV,WR,2023.0,8.0
Justin Jefferson,MIN,WR,2023.0,5.0
