year,team,dead_money_millions
2015,ARI,0.0
2015,WAS,3.01
2015,TEN,0.0
2015,TAM,0.0
2015,SFO,0.0
2015,SEA,0.0
2015,PIT,0.0
2015,PHI,0.0
2015,NYJ,0.0
2015,NWE,0.0
2015,NOR,0.0
2015,MIN,0.0
2015,MIA,0.0
2015,LVR,0.0
2015,LAR,0.0
2015,LAC,0.0
2015,NYG,0.0
2015,JAX,0.0
2015,KAN,0.0
2015,ATL,0.0
2015,BAL,0.0
2015,BUF,0.0
2015,CAR,0.0
2015,CIN,0.0
2015,CLE,0.0
2015,CHI,0.0
2015,DEN,0.0
2015,DET,0.0
2015,GNB,0.0
2015,HOU,0.0
2015,IND,6.95
2015,DAL,0.0
2016,LVR,0.0
2016,NYG,0.0
2016,MIA,0.0
2016,MIN,0.0
2016,NOR,0.0
2016,NWE,0.0
2016,NYJ,0.0
2016,WAS,0.0
2016,PIT,0.0
2016,SEA,0.0
2016,SFO,0.0
2016,TAM,0.0
2016,TEN,0.0
2016,LAR,0.0
2016,PHI,0.0
2016,LAC,0.0
2016,CLE,0.0
2016,JAX,0.0
2016,KAN,0.0
2016,ARI,0.0
2016,ATL,0.0
2016,BAL,0.0
2016,BUF,0.0
2016,CHI,0.0
2016,CIN,0.0
2016,CAR,0.0
2016,DAL,0.0
2016,DEN,0.0
2016,DET,0.0
2016,GNB,0.0
2016,HOU,0.0
2016,IND,0.0
2017,NYG,0.0
2017,MIA,0.0
2017,MIN,0.0
2017,NOR,0.0
2017,NWE,0.0
2017,LVR,0.0
2017,NYJ,0.0
2017,WAS,0.0
2017,PIT,0.0
2017,SEA,0.0
2017,SFO,0.0
2017,TAM,0.0
2017,TEN,35.4
2017,LAR,0.0
2017,PHI,0.0
2017,LAC,0.0
2017,CLE,0.0
2017,JAX,0.0
2017,ARI,9.87
2017,ATL,0.0
2017,BAL,0.0
2017,BUF,0.0
2017,CAR,0.0
2017,CHI,0.0
2017,CIN,0.0
2017,KAN,0.0
2017,DAL,0.0
2017,DEN,0.0
2017,DET,0.0
2017,GNB,0.0
2017,HOU,0.0
2017,IND,0.0
2018,LAR,0.0
2018,LVR,0.0
2018,MIA,0.0
2018,MIN,0.0
2018,NOR,0.0
2018,NWE,0.0
2018,NYG,0.0
2018,PIT,0.0
2018,PHI,0.0
2018,WAS,0.0
2018,SEA,0.0
2018,SFO,0.0
2018,TAM,0.0
2018,LAC,0.0
2018,NYJ,0.0
2018,TEN,0.0
2018,KAN,0.0
2018,IND,0.0
2018,JAX,0.0
2018,ARI,0.0
2018,ATL,0.0
2018,BAL,0.0
2018,CAR,0.0
2018,CHI,0.0
2018,BUF,0.0
2018,CLE,0.0
2018,DAL,0.0
2018,DEN,0.0
2018,DET,0.0
2018,GNB,0.0
2018,HOU,0.0
2018,CIN,15.33
2019,NWE,0.0
2019,LVR,0.0
2019,MIA,0.0
2019,MIN,0.0
2019,NOR,0.0
2019,NYG,0.0
2019,LAR,0.0
2019,PHI,0.0
2019,PIT,0.0
2019,SEA,0.0
2019,SFO,0.0
2019,TAM,0.0
2019,TEN,0.0
2019,NYJ,0.0
2019,LAC,0.0
2019,WAS,2.89
2019,JAX,0.0
2019,ARI,12.23
2019,ATL,0.0
2019,BAL,0.0
2019,BUF,0.0
2019,CAR,0.0
2019,CHI,16.21
2019,CIN,0.0
2019,KAN,0.0
2019,DAL,0.0
2019,DEN,0.0
2019,DET,0.0
2019,GNB,0.0
2019,HOU,0.0
2019,IND,6.4
2019,CLE,0.0
2020,LVR,0.0
2020,MIA,0.0
2020,MIN,0.0
2020,NOR,0.0
2020,NWE,0.0
2020,NYG,0.0
2020,SEA,0.0
2020,PHI,0.0
2020,PIT,0.0
2020,SFO,0.0
2020,TAM,0.0
2020,TEN,0.0
2020,LAR,0.0
2020,NYJ,0.0
2020,LAC,0.0
2020,WAS,0.0
2020,JAX,0.0
2020,ARI,4.44
2020,ATL,0.0
2020,BAL,0.0
2020,BUF,0.0
2020,CAR,0.0
2020,CHI,0.0
2020,CIN,0.0
2020,KAN,0.0
2020,DAL,0.0
2020,DEN,0.0
2020,DET,0.0
2020,GNB,0.0
2020,HOU,0.0
2020,IND,0.0
2020,CLE,0.0
2021,LAR,0.0
2021,LVR,0.0
2021,MIA,0.0
2021,MIN,0.0
2021,NOR,0.0
2021,NWE,0.0
2021,NYG,0.0
2021,PIT,0.0
2021,PHI,0.0
2021,SEA,0.0
2021,SFO,0.0
2021,TAM,0.0
2021,TEN,0.0
2021,LAC,0.0
2021,NYJ,0.0
2021,WAS,0.0
2021,KAN,0.0
2021,IND,0.0
2021,JAX,0.0
2021,ARI,0.0
2021,ATL,0.0
2021,BAL,0.0
2021,CAR,0.0
2021,CHI,0.0
2021,BUF,0.0
2021,CLE,0.0
2021,DAL,0.0
2021,DEN,0.0
2021,DET,0.0
2021,GNB,0.0
2021,HOU,0.0
2021,CIN,0.0
2022,NYG,0.0
2022,LVR,0.0
2022,MIA,0.0
2022,MIN,0.0
2022,NOR,0.0
2022,NWE,0.0
2022,WAS,4.78
2022,TEN,0.0
2022,PHI,0.0
2022,PIT,24.49
2022,SEA,0.0
2022,SFO,0.0
2022,TAM,0.0
2022,LAR,0.0
2022,NYJ,0.0
2022,LAC,3.39
2022,CLE,0.0
2022,JAX,0.0
2022,ARI,3.94
2022,ATL,2.29
2022,BAL,0.0
2022,CAR,0.0
2022,CHI,2.53
2022,CIN,0.0
2022,BUF,0.0
2022,DEN,6.73
2022,DET,0.0
2022,GNB,0.0
2022,HOU,9.64
2022,IND,0.0
2022,DAL,0.0
2022,KAN,0.0
2023,NYG,0.0
2023,LVR,0.0
2023,MIA,0.0
2023,MIN,0.0
2023,NOR,0.0
2023,NWE,0.0
2023,WAS,0.0
2023,PIT,0.0
2023,SEA,0.0
2023,SFO,0.0
2023,TAM,0.0
2023,TEN,0.0
2023,LAR,0.0
2023,PHI,0.0
2023,LAC,0.0
2023,NYJ,0.0
2023,JAX,0.0
2023,ARI,0.0
2023,ATL,0.0
2023,BAL,3.3899999999999997
2023,BUF,4.25
2023,KAN,0.0
2023,CHI,0.0
2023,CIN,0.0
2023,CAR,0.0
2023,DAL,0.0
2023,DEN,0.0
2023,DET,0.0
2023,GNB,0.0
2023,HOU,0.0
2023,IND,0.0
2023,CLE,0.0
2024,LAR,0.0
2024,LVR,0.0
2024,MIA,0.0
2024,MIN,0.0
2024,NOR,0.0
2024,NWE,0.0
2024,TAM,0.0
2024,NYJ,2.56
2024,PHI,0.0
2024,PIT,0.0
2024,SEA,0.0
2024,SFO,0.0
2024,LAC,0.0
2024,NYG,0.0
2024,KAN,0.0
2024,CLE,0.0
2024,IND,0.0
2024,HOU,0.0
2024,GNB,0.0
2024,DET,0.0
2024,DEN,0.0
2024,DAL,0.0
2024,CIN,9.05
2024,CHI,0.0
2024,CAR,0.0
2024,BUF,0.0
2024,BAL,0.0
2024,ATL,0.0
2024,ARI,5.94
2024,TEN,0.0
2024,JAX,0.0
2024,WAS,0.0
