team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
CLE,2017,156.66,46.24,29.51,0.500
SF,2017,145.36,39.43,27.13,0.500
JAX,2017,171.29,11.30,6.59,0.500
TEN,2017,161.25,8.07,5.00,0.500
NYJ,2017,144.90,20.77,14.33,0.500
TB,2017,153.76,7.22,4.70,0.500
IND,2017,156.27,27.57,17.65,0.500
MIN,2017,153.55,11.93,7.77,0.500
HOU,2017,159.83,13.81,8.64,0.500
BUF,2017,154.57,28.93,18.72,0.500
LAC,2017,157.64,18.82,11.94,0.500
DEN,2017,156.40,5.46,3.49,0.500
CIN,2017,161.69,4.15,2.57,0.500
OAK,2017,164.44,4.39,2.67,0.500
DAL,2017,159.81,26.66,16.68,0.500
DET,2017,161.08,10.91,6.78,0.500
CHI,2017,167.72,13.24,7.89,0.500
GB,2017,168.49,12.07,7.16,0.500
PIT,2017,163.38,11.86,7.26,0.500
LAR,2017,156.89,10.00,6.38,0.500
BAL,2017,158.87,21.99,13.84,0.500
CAR,2017,175.45,12.13,6.91,0.500
NE,2017,163.71,7.23,4.41,0.500
PHI,2017,172.57,19.58,11.35,0.500
ARI,2017,169.35,7.53,4.44,0.500
KC,2017,167.78,16.05,9.57,0.500
WAS,2017,174.81,12.63,7.23,0.500
SEA,2017,167.37,7.36,4.40,0.500
ATL,2017,166.31,8.46,5.09,0.500
NO,2017,161.72,25.61,15.84,0.500
NYG,2017,167.43,10.08,6.02,0.500
MIA,2017,171.95,20.05,11.66,0.500
Totals,2017,5192.32,501.53,9.66,0.500
Averages,2017,162.26,15.67,9.66,0.500
