team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
JAX,2021,126.905443,23.625065,180.473269,28.496887,13.09
PHI,2021,101.610988,63.769525,189.181452,17.817323,33.71
DEN,2021,107.26939,37.144693,188.343846,12.46547,19.72
PIT,2021,124.164123,30.380017,175.90713,11.542925,17.27
SEA,2021,137.955994,13.921645,172.703125,11.22811,8.06
CLE,2021,126.473899,29.003079,202.643673,9.266018,14.31
LAC,2021,159.785508,6.203246,183.047309,8.683218,3.39
HOU,2021,115.736939,48.012147,186.825534,7.643225,25.7
WAS,2021,108.01914,22.258385,193.566718,6.172203,11.5
TEN,2021,141.092116,30.830452,184.416734,6.128963,16.72
NE,2021,147.576468,33.592321,200.573159,5.239388,16.75
NYJ,2021,88.174985,35.85022,205.73664,4.861174,17.43
GB,2021,162.492766,10.739283,181.31783,4.856188,5.92
CAR,2021,96.749377,53.966463,181.771931,4.745701,29.69
DAL,2021,167.63175,27.047455,205.327031,4.635488,13.17
CIN,2021,154.339838,18.929965,191.286587,3.851688,9.9
IND,2021,170.696313,6.73678,187.317746,3.717651,3.6
KC,2021,160.366274,17.790771,185.112146,3.320964,9.61
NYG,2021,121.896505,19.015015,182.521051,2.972804,10.42
LAR,2021,121.817079,49.435215,184.237455,2.861686,26.83
MIA,2021,149.454584,24.42995,195.163942,2.019904,12.52
CHI,2021,128.620134,26.298749,188.749384,1.383458,13.93
DET,2021,76.519893,67.101393,196.592545,1.134882,34.13
TB,2021,149.094323,11.189876,181.119199,0.931909,6.18
ARI,2021,153.976241,15.710653,191.127625,0.913352,8.22
SF,2021,138.172427,23.504522,195.101014,0.662008,12.05
BUF,2021,165.564312,9.888567,187.797479,0.57948,5.27
LV,2021,129.494524,36.524563,189.930974,0.2961,19.23
BAL,2021,113.199729,19.685331,182.781957,0.265482,10.77
NO,2021,107.680541,49.107949,185.310258,0.180246,26.5
ATL,2021,141.096481,30.32391,185.499791,-0.493883,16.35
MIN,2021,118.144787,25.570247,188.620675,-1.346576,13.56
