player_name_short,position,team_city,penalty_count,penalty_yards,year
B.Browner,DB,New Orleans,21,207,2015
D.Kirkpatrick,CB,Cincinnati,13,118,2015
G.Robinson,T,St. Louis,13,114,2015
G.Cherilus,T,Tampa Bay,11,81,2015
N.Suh,DT,Miami,13,61,2015
J.Hughes,DE,Buffalo,14,114,2015
C.Wallace,C,Pittsburgh,12,120,2015
M.Remmers,T,Carolina,12,75,2015
X.Rhodes,CB,Minnesota,10,137,2015
L.Johnson,OL,Philadelphia,11,75,2015
A.Talib,CB,Denver,12,101,2015
J.Reed,TE,Washington,12,104,2015
M.Moses,T,Washington,9,68,2015
M.Bennett,DE,Seattle,8,66,2015
D.Bakhtiari,OL,Green Bay,11,79,2015
D.Hayden,CB,Oakland,10,111,2015
D.Fluker,T,San Diego,11,107,2015
A.Brooks,OLB,San Francisco,10,74,2015
R.Sherman,CB,Seattle,9,121,2015
J.Norman,DB,Carolina,8,54,2015
O.Vernon,DE,Miami,10,110,2015
Z.Martin,OL,Dallas,8,60,2015
N.Thorpe,DB,Oakland,10,94,2015
M.Evans,WR,Tampa Bay,10,110,2015
D.Breaux,CB,New Orleans,9,73,2015
D.Smith,OL,Tampa Bay,9,70,2015
B.Maxwell,DB,Philadelphia,8,65,2015
A.Levitre,G,Atlanta,11,95,2015
E.Pears,T,San Francisco,10,95,2015
J.Peters,T,Philadelphia,7,33,2015
J.Sitton,G,Green Bay,10,94,2015
R.Gronkowski,TE,New England,9,74,2015
P.Peterson,CB,Arizona,7,35,2015
A.Whitworth,T,Cincinnati,10,80,2015
R.Wilson,QB,Seattle,10,63,2015
M.Kalil,T,Minnesota,7,55,2015
J.Sweezy,OL,Seattle,10,100,2015
T.Lewan,OL,Tennessee,7,59,2015
J.Fox,T,Miami,8,60,2015
E.Flowers,T,N.Y. Giants,8,63,2015
M.Peters,CB,Kansas City,9,131,2015
A.Smith,T,Cincinnati,9,75,2015
Tyr.Smith,OL,Dallas,8,56,2015
D.Free,T,Dallas,9,50,2015
J.Reitz,T,Indianapolis,5,45,2015
J.Kelce,OL,Philadelphia,7,65,2015
Z.Strief,T,New Orleans,9,60,2015
V.Miller,LB,Denver,9,81,2015
P.Rivers,QB,San Diego,9,59,2015
K.Osemele,G,Baltimore,6,54,2015
M.Claiborne,CB,Dallas,7,78,2015
K.Long,G,Chicago,9,75,2015
A.Howard,T,Oakland,6,50,2015
T.Ward,SS,Denver,9,97,2015
T.Carrie,CB,Oakland,8,78,2015
J.Howard,DT,Kansas City,9,75,2015
V.Ducasse,T,Chicago,8,60,2015
C.Hairston,T,San Diego,7,45,2015
J.Barksdale,T,San Diego,8,40,2015
M.Newhouse,G,N.Y. Giants,7,65,2015
D.House,DB,Jacksonville,6,42,2015
R.Alford,CB,Atlanta,6,107,2015
M.Ingram,DE,San Diego,7,45,2015
R.White,WR,Atlanta,6,55,2015
P.Chung,SS,New England,8,62,2015
A.Castonzo,T,Indianapolis,8,55,2015
B.Bulaga,T,Green Bay,4,35,2015
J.Watt,DE,Houston,8,79,2015
T.Williams,DB,Carolina,8,82,2015
V.Davis,CB,Indianapolis,8,83,2015
B.Massie,T,Arizona,8,55,2015
J.Bademosi,CB,Cleveland,6,92,2015
E.Ansah,DE,Detroit,7,61,2015
D.Trufant,CB,Atlanta,4,67,2015
E.Pleasant,DB,Houston,6,41,2015
L.Joeckel,T,Jacksonville,8,70,2015
K.Webster,CB,Denver,7,52,2015
W.Gholston,DL,Tampa Bay,7,79,2015
B.Giacomini,T,N.Y. Jets,7,65,2015
J.Veldheer,T,Arizona,6,44,2015
T.Turner,G,Carolina,7,58,2015
A.Verner,CB,Tampa Bay,6,60,2015
D.Penn,T,Oakland,7,60,2015
K.Ealy,DE,Carolina,8,50,2015
A.Blake,DB,Pittsburgh,7,89,2015
L.Mankins,G,Tampa Bay,8,65,2015
G.Gilliam,T,Seattle,6,46,2015
B.Flowers,CB,San Diego,6,42,2015
K.Johnson,CB,Houston,6,59,2015
M.Oher,T,Carolina,7,45,2015
M.Butler,DB,New England,6,103,2015
T.Williams Sr.,DB,Cleveland,8,136,2015
D.Thomas,G,Miami,7,50,2015
J.Britt,C,Seattle,7,47,2015
L.Webb,FS,Baltimore,5,41,2015
J.Witten,TE,Dallas,7,45,2015
E.Manning,QB,N.Y. Giants,7,43,2015
C.Newton,QB,Carolina,7,43,2015
E.Griffen,DE,Minnesota,7,44,2015
D.Brown,T,Houston,7,60,2015
M.Gilbert,T,Pittsburgh,6,55,2015
D.Ferguson,T,N.Y. Jets,7,46,2015
R.Incognito,C,Buffalo,6,62,2015
A.Jones,CB,Cincinnati,5,55,2015
C.Glenn,T,Buffalo,5,49,2015
J.Jenkins,CB,St. Louis,5,62,2015
A.Branch,DE,Jacksonville,7,53,2015
V.Burfict,OLB,Cincinnati,6,54,2015
K.Cousins,QB,Washington,7,34,2015
E.Dumervil,OLB,Baltimore,6,49,2015
E.Walden,OLB,Indianapolis,6,70,2015
E.Fisher,T,Kansas City,6,38,2015
H.Thornton,G,Indianapolis,6,44,2015
D.Hopkins,WR,Houston,5,60,2015
B.Winters,G,N.Y. Jets,6,47,2015
M.Jackson,DT,Denver,6,80,2015
C.Warmack,G,Tennessee,6,60,2015
K.Juszczyk,FB,Baltimore,6,45,2015
R.Bodine,C,Cincinnati,7,65,2015
S.Henderson,T,Buffalo,7,55,2015
C.Munnerlyn,CB,Minnesota,5,29,2015
D.Ware,OLB,Denver,5,35,2015
J.Bitonio,OL,Cleveland,7,60,2015
L.Joyner,CB,St. Louis,7,55,2015
T.Kelce,TE,Kansas City,7,60,2015
J.Jones,DE,Detroit,7,40,2015
M.Martin,C,San Francisco,6,45,2015
W.Hill,SS,Baltimore,7,81,2015
Q.Patton,WR,San Francisco,6,55,2015
K.Wilson,DB,New Orleans,7,82,2015
J.Smith,DE,Tampa Bay,7,43,2015
J.Parnell,T,Jacksonville,6,45,2015
B.Skrine,DB,N.Y. Jets,7,74,2015
