player_name,team,position,year,total_contract_value_millions,guaranteed_money_millions
Moore D.J. Moore,CHI,WR,2024,110.0,43.65
Sweat Montez Sweat,CHI,ED,2024,98.0,41.964888
Johnson Jaylon Johnson,CHI,CB,2024,76.0,43.8
Edmunds Tremaine Edmunds,CHI,LB,2024,72.0,36.8
Jackson Jonah Jackson,CHI,G,2024,52.5,24.5
Kmet Cole Kmet,CHI,TE,2024,50.0,22.893
Odeyingbo Dayo Odeyingbo,CHI,ED,2024,48.0,29.5
Jarrett Grady Jarrett,CHI,DL,2024,42.75,27.25
Dalman Drew Dalman,CHI,C,2024,42.0,26.5
Gordon Kyler Gordon,CHI,CB,2024,40.0,21.256
Williams Caleb Williams,CHI,QB,2024,39.486058,39.486058
Thuney Joe Thuney,CHI,G,2024,35.0,33.5
Loveland Colston Loveland,CHI,TE,2024,26.636008,26.636008
Swift D'Andre Swift,CHI,RB,2024,24.0,14.0
Odunze Rome Odunze,CHI,WR,2024,22.7245,22.7245
Wright Darnell Wright,CHI,RT,2024,20.968267,20.968267
Edwards T.J. Edwards,CHI,LB,2024,20.0,16.65
Bates Ryan Bates,CHI,C,2024,17.0,8.85
Santos Cairo Santos,CHI,K,2024,15.6,3.383333
Byard Kevin Byard,CHI,S,2024,15.0,7.39
Burden III Luther Burden III,CHI,WR,2024,10.96403,10.96403
Bagent Tyson Bagent,CHI,QB,2024,10.0,2.53
Billings Andrew Billings,CHI,DL,2024,8.0,5.06
Trapilo Ozzy Trapilo,CHI,T,2024,7.718124,5.394004
Brisker Jaquan Brisker,CHI,S,2024,7.35554,3.568827
Turner Shemar Turner,CHI,DL,2024,7.220286,4.423048
Dexter Gervon Dexter,CHI,DL,2024,6.723728,3.695608
Stevenson Tyrique Stevenson,CHI,CB,2024,6.449498,3.483703
Amegadjie Kiran Amegadjie,CHI,LT,2024,5.914322,1.121324
Hyppolite II Ruben Hyppolite II,CHI,LB,2024,5.079588,0.879588
Ogbongbemiga Amen Ogbongbemiga,CHI,LB,2024,5.0,2.45
Blackwell Josh Blackwell,CHI,CB,2024,5.0,2.45
Taylor Tory Taylor,CHI,P,2024,4.7679,0.7479
