rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
1,Dak Prescott,DAL,QB,"$31,409,000",31.409,2020
2,Russell Wilson,SEA,QB,"$31,000,000",31.0,2020
3,Jared Goff,LAR,QB,"$28,842,682",28.842682,2020
4,Khalil Mack,CHI,ED/OLB,"$26,600,000",26.6,2020
5,Jimmy Garoppolo,SF,QB,"$26,100,000",26.1,2020
6,Von Miller,DEN,ED/OLB,"$25,625,000",25.625,2020
7,Tom Brady,TB,QB,"$25,000,000",25.0,2020
8,Aaron Donald,LAR,DL,"$25,000,000",25.0,2020
9,Philip Rivers,IND,QB,"$25,000,000",25.0,2020
10,Ben Roethlisberger,PIT,QB,"$23,750,000",23.75,2020
11,Drew Brees,NO,QB,"$23,650,000",23.65,2020
12,Stephon Gilmore,NE,CB,"$23,639,584",23.639584,2020
13,DeForest Buckner,IND,DL/DT,"$23,378,000",23.378,2020
14,Ryan Tannehill,TEN,QB,"$22,500,000",22.5,2020
15,Aaron Rodgers,GB,QB,"$21,642,000",21.642,2020
16,Trenton Brown,LV,RT,"$21,500,000",21.5,2020
17,Derek Carr,LV,QB,"$21,500,000",21.5,2020
18,Alex Smith,WAS,QB,"$21,400,000",21.4,2020
19,Jacoby Brissett,IND,QB,"$21,375,000",21.375,2020
20,Chandler Jones,ARI,ED/OLB,"$21,333,333",21.333333,2020
21,Matthew Stafford,DET,QB,"$21,300,000",21.3,2020
22,Kirk Cousins,MIN,QB,"$20,666,666",20.666666,2020
23,Julio Jones,ATL,WR,"$20,416,668",20.416668,2020
24,Kawann Short,CAR,DL,"$19,464,000",19.464,2020
25,Frank Clark,KC,ED,"$19,300,000",19.3,2020
26,Matt Ryan,ATL,QB,"$18,962,500",18.9625,2020
27,Carson Wentz,PHI,QB,"$18,656,536",18.656536,2020
28,A.J. Green,CIN,WR,"$18,171,000",18.171,2020
29,Fletcher Cox,PHI,DL,"$18,115,000",18.115,2020
30,Taylor Lewan,TEN,LT,"$18,096,471",18.096471,2020
31,Tyreek Hill,KC,WR,"$17,740,000",17.74,2020
32,Byron Jones,MIA,CB,"$17,600,000",17.6,2020
33,Za'Darius Smith,GB,ED,"$17,250,000",17.25,2020
34,Anthony Castonzo,IND,LT,"$17,000,000",17.0,2020
35,Matt Judon,BAL,ED/OLB,"$16,808,000",16.808,2020
36,Trey Flowers,DET,ED,"$16,739,000",16.739,2020
37,Melvin Ingram,LAC,ED,"$16,625,000",16.625,2020
38,Davante Adams,GB,WR,"$16,537,500",16.5375,2020
39,Tyrann Mathieu,KC,FS,"$16,333,333",16.333333,2020
40,David Bakhtiari,GB,LT,"$16,127,941",16.127941,2020
41,Leonard Williams,NYG,DL/DE,"$16,126,000",16.126,2020
42,Sammy Watkins,KC,WR,"$15,875,000",15.875,2020
43,Shaquil Barrett,TB,ED,"$15,828,000",15.828,2020
44,Bud Dupree,PIT,ED/OLB,"$15,828,000",15.828,2020
45,J.J. Watt,HOU,DL,"$15,500,000",15.5,2020
46,Myles Jack,JAX,LB,"$15,400,000",15.4,2020
47,Alshon Jeffery,PHI,WR,"$15,396,500",15.3965,2020
48,Ryan Kelly,IND,C,"$15,355,640",15.35564,2020
49,Eric Fisher,KC,LT,"$15,231,666",15.231666,2020
50,Brandon Scherff,WAS,G,"$15,030,000",15.03,2020
51,Chris Jones,KC,DL/DT,"$15,001,000",15.001,2020
52,Joey Bosa,LAC,ED/DE,"$15,000,000",15.0,2020
53,Marcus Peters,BAL,CB,"$15,000,000",15.0,2020
54,Allen Robinson,CHI,WR,"$15,000,000",15.0,2020
55,Stephon Tuitt,PIT,DL,"$14,940,750",14.94075,2020
56,Stefon Diggs,BUF,WR,"$14,800,000",14.8,2020
57,Joe Thuney,NE,G,"$14,781,000",14.781,2020
58,Bobby Wagner,SEA,LB/ILB,"$14,750,000",14.75,2020
59,Jarvis Landry,CLE,WR,"$14,550,000",14.55,2020
60,T.Y. Hilton,IND,WR,"$14,542,000",14.542,2020
61,Donovan Smith,TB,LT,"$14,500,000",14.5,2020
62,"Odell Beckham, Jr.",CLE,WR,"$14,250,000",14.25,2020
63,Geno Atkins,CIN,DL,"$14,100,000",14.1,2020
64,Laremy Tunsil,HOU,LT,"$14,100,000",14.1,2020
65,Richard Sherman,SF,CB,"$13,987,500",13.9875,2020
66,Teddy Bridgewater,CAR,QB,"$13,953,125",13.953125,2020
67,Kareem Jackson,DEN,SS,"$13,882,353",13.882353,2020
68,Landon Collins,WAS,SS,"$13,825,000",13.825,2020
69,Sheldon Richardson,CLE,DL,"$13,666,666",13.666666,2020
70,Malcolm Butler,TEN,CB,"$13,600,000",13.6,2020
71,Preston Smith,GB,ED/OLB,"$13,500,000",13.5,2020
72,Xavien Howard,MIA,CB,"$13,325,000",13.325,2020
73,Patrick Peterson,ARI,CB,"$13,184,588",13.184588,2020
74,Russell Okung,CAR,LT,"$13,031,250",13.03125,2020
75,Ronnie Stanley,BAL,LT,"$12,866,000",12.866,2020
76,Jason Pierre-Paul,TB,ED/OLB,"$12,800,000",12.8,2020
77,Adam Thielen,MIN,WR,"$12,793,750",12.79375,2020
78,Jadeveon Clowney,TEN,DL/DE,"$12,718,750",12.71875,2020
79,Anthony Barr,MIN,LB,"$12,700,000",12.7,2020
80,Anthony Hitchens,KC,LB,"$12,692,500",12.6925,2020
81,Duane Brown,SEA,LT,"$12,562,500",12.5625,2020
82,Trent Williams,SF,LT,"$12,500,000",12.5,2020
83,Kevin Zeitler,NYG,G,"$12,500,000",12.5,2020
84,Zach Ertz,PHI,TE,"$12,481,500",12.4815,2020
85,Tyler Lockett,SEA,WR,"$12,450,000",12.45,2020
86,Rodger Saffold,TEN,G,"$12,343,750",12.34375,2020
87,Grady Jarrett,ATL,DL/DT,"$12,334,000",12.334,2020
88,Amari Cooper,DAL,WR,"$12,000,000",12.0,2020
89,Whitney Mercilus,HOU,ED,"$12,000,000",12.0,2020
90,Andrew Norwell,JAX,G,"$12,000,000",12.0,2020
91,Akiem Hicks,CHI,DL,"$11,800,000",11.8,2020
92,Casey Hayward,LAC,CB,"$11,750,000",11.75,2020
93,Tre'Davious White,BUF,CB,"$11,719,748",11.719748,2020
94,Ryan Kerrigan,WAS,DL,"$11,687,500",11.6875,2020
95,Larry Fitzgerald,ARI,WR,"$11,656,250",11.65625,2020
96,Mitch Morse,BUF,C,"$11,562,500",11.5625,2020
97,Kyle Fuller,CHI,CB,"$11,500,000",11.5,2020
98,Jurrell Casey,DEN,DL,"$11,443,750",11.44375,2020
99,Anthony Harris,MIN,FS,"$11,441,000",11.441,2020
100,Justin Simmons,DEN,FS,"$11,441,000",11.441,2020
101,Travis Kelce,KC,TE,"$11,218,400",11.2184,2020
102,Brandon Williams,BAL,DL,"$11,174,000",11.174,2020
103,Tyrell Williams,LV,WR,"$11,100,000",11.1,2020
104,David Johnson,HOU,RB,"$11,062,500",11.0625,2020
105,Olivier Vernon,CLE,LB,"$11,000,000",11.0,2020
106,Ezekiel Elliott,DAL,RB,"$10,900,000",10.9,2020
107,Kyle Van Noy,MIA,ED,"$10,900,000",10.9,2020
108,Shaq Lawson,MIA,DL/DE,"$10,833,333",10.833333,2020
109,Mitchell Schwartz,KC,RT,"$10,820,000",10.82,2020
110,Jake Matthews,ATL,LT,"$10,764,200",10.7642,2020
111,Lavonte David,TB,LB/ILB,"$10,750,000",10.75,2020
112,Harrison Smith,MIN,SS,"$10,750,000",10.75,2020
113,Hunter Henry,LAC,TE,"$10,607,000",10.607,2020
114,Alex Mack,ATL,C,"$10,550,000",10.55,2020
115,Jordan Hicks,ARI,LB,"$10,500,000",10.5,2020
116,Corey Linsley,GB,C,"$10,500,000",10.5,2020
117,Justin Pugh,ARI,G,"$10,421,875",10.421875,2020
118,Golden Tate,NYG,WR,"$10,352,942",10.352942,2020
119,Keenan Allen,LAC,WR,"$10,350,000",10.35,2020
120,Deion Jones,ATL,LB,"$10,320,000",10.32,2020
121,Lane Johnson,PHI,RT,"$10,298,206",10.298206,2020
122,Charles Leno,CHI,LT,"$10,294,000",10.294,2020
123,Riley Reiff,MIN,LT,"$10,200,000",10.2,2020
124,Will Fuller,HOU,WR,"$10,162,000",10.162,2020
125,A.J. Bouye,DEN,CB,"$10,159,926",10.159926,2020
126,Myles Garrett,CLE,ED/DE,"$10,126,627",10.126627,2020
127,D.J. Reader,CIN,DL/DT,"$10,062,500",10.0625,2020
128,James Bradberry,NYG,CB,"$10,000,000",10.0,2020
129,Calais Campbell,BAL,DL/DE,"$10,000,000",10.0,2020
130,Ryan Jensen,TB,C,"$10,000,000",10.0,2020
131,Blake Martinez,NYG,LB,"$10,000,000",10.0,2020
132,C.J. Mosley,NYJ,LB,"$10,000,000",10.0,2020
133,Trae Waynes,CIN,CB,"$10,000,000",10.0,2020
134,K.J. Wright,SEA,LB,"$10,000,000",10.0,2020
135,J.C. Tretter,CLE,C,"$9,975,000",9.975,2020
136,Mario Addison,BUF,ED,"$9,968,750",9.96875,2020
137,William Jackson,CIN,CB,"$9,954,000",9.954,2020
138,DeMarcus Lawrence,DAL,ED/DE,"$9,900,000",9.9,2020
139,Jamison Crowder,NYJ,WR,"$9,875,000",9.875,2020
140,Deshaun Watson,HOU,QB,"$9,808,207",9.808207,2020
141,David DeCastro,PIT,G,"$9,797,500",9.7975,2020
142,Trent Murphy,BUF,ED,"$9,775,000",9.775,2020
143,Adam Humphries,TEN,WR,"$9,718,750",9.71875,2020
144,Adrian Amos,GB,FS,"$9,650,000",9.65,2020
145,Joe Haden,PIT,CB,"$9,625,000",9.625,2020
146,Gabe Jackson,LV,G,"$9,600,000",9.6,2020
147,John Brown,BUF,WR,"$9,531,250",9.53125,2020
148,Jerry Hughes,BUF,ED/DE,"$9,500,000",9.5,2020
149,Jarran Reed,SEA,DL/DT,"$9,350,000",9.35,2020
150,Mitchell Trubisky,CHI,QB,"$9,327,591",9.327591,2020
151,Cameron Heyward,PIT,DL/DT,"$9,301,250",9.30125,2020
152,Rob Gronkowski,TB,TE,"$9,250,000",9.25,2020
153,LaMarcus Joyner,LV,FS,"$9,200,000",9.2,2020
