rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1,Kyler Murray,ARI,QB,,"$49,118,177",49.118177,2024
2,Matthew Stafford,LAR,QB,,"$46,174,541",46.174541,2024
3,Dak Prescott,DAL,QB,,"$44,624,800",44.6248,2024
4,Patrick Mahomes,KC,QB,,"$37,008,269",37.008269,2024
5,Lamar Jackson,BAL,QB,,"$32,400,000",32.4,2024
6,T.J. Watt,PIT,ED/OLB,30,"$30,418,694",30.418694,2024
7,Josh Allen,BUF,QB,,"$30,356,281",30.356281,2024
8,Maxx Crosby,LV,DL/DE,,"$30,253,250",30.25325,2024
9,Cooper Kupp,LAR,WR,,"$29,780,000",29.78,2024
10,Joe Burrow,CIN,QB,,"$29,714,000",29.714,2024
11,Deshaun Watson,CLE,QB,,"$27,950,868",27.950868,2024
12,Chris Godwin,TB,WR,,"$27,534,000",27.534,2024
13,Jared Goff,DET,QB,,"$27,211,000",27.211,2024
14,Joe Thuney,KC,G,,"$26,971,713",26.971713,2024
15,Geno Smith,SEA,QB,,"$26,400,000",26.4,2024
16,Kenny Clark,GB,DL/DT,,"$26,365,000",26.365,2024
17,Joey Bosa,LAC,ED/OLB,,"$26,111,667",26.111667,2024
18,Laremy Tunsil,HOU,LT,,"$25,855,870",25.85587,2024
19,Khalil Mack,LAC,ED/OLB,,"$25,595,000",25.595,2024
20,Quenton Nelson,IND,G,25,"$25,200,000",25.2,2024
21,Montez Sweat,CHI,ED/DE,,"$25,085,200",25.0852,2024
22,Kirk Cousins,ATL,QB,,"$25,000,000",25.0,2024
23,Christian Kirk,JAX,WR,,"$24,119,294",24.119294,2024
24,Terry McLaurin,WAS,WR,,"$24,100,000",24.1,2024
25,Jaire Alexander,GB,CB,,"$23,981,645",23.981645,2024
26,Harold Landry,TEN,LB/OLB,,"$23,800,000",23.8,2024
27,Taylor Moton,CAR,RT,,"$23,347,916",23.347916,2024
28,Keenan Allen,CHI,WR,,"$23,100,000",23.1,2024
29,Brian O'Neill,MIN,RT,,"$22,930,868",22.930868,2024
30,Marlon Humphrey,BAL,CB,,"$22,877,800",22.8778,2024
31,Tremaine Edmunds,CHI,LB/ILB,,"$22,437,500",22.4375,2024
32,Budda Baker,ARI,S,,"$22,086,250",22.08625,2024
33,Tee Higgins,CIN,WR,,"$21,816,000",21.816,2024
34,Jake Matthews,ATL,LT,,"$21,773,713",21.773713,2024
35,Jeffery Simmons,TEN,DL/DT,,"$21,652,932",21.652932,2024
36,Trent Williams,SF,LT/T,,"$21,614,953",21.614953,2024
37,Daron Payne,WAS,DL/DT,,"$21,610,000",21.61,2024
38,Minkah Fitzpatrick,PIT,SS,,"$21,355,000",21.355,2024
39,Jonathan Allen,WAS,DL/DT,,"$20,970,588",20.970588,2024
40,Vita Vea,TB,DL/DT,,"$20,965,054",20.965054,2024
41,Garett Bolles,DEN,LT,,"$20,807,245",20.807245,2024
42,Jordan Love,GB,QB,,"$20,757,731",20.757731,2024
43,DeMarcus Lawrence,DAL,ED/DE,,"$20,445,000",20.445,2024
44,Quinnen Williams,NYJ,DL/DT,,"$20,400,000",20.4,2024
45,Grady Jarrett,ATL,DL/DT,,"$20,375,000",20.375,2024
46,Myles Garrett,CLE,ED/DE,,"$20,168,895",20.168895,2024
47,Trey Hendrickson,CIN,ED/DE,,"$20,166,666",20.166666,2024
48,Andrew Thomas,NYG,LT,,"$19,687,941",19.687941,2024
49,Travis Kelce,KC,TE,,"$19,551,667",19.551667,2024
50,Jawaan Taylor,KC,RT,,"$19,391,666",19.391666,2024
51,Justin Herbert,LAC,QB,,"$19,345,675",19.345675,2024
52,Derwin James,LAC,SS,,"$19,148,066",19.148066,2024
53,Tyler Lockett,SEA,WR,,"$18,895,000",18.895,2024
54,Charvarius Ward,SF,CB,,"$18,401,000",18.401,2024
55,Tyreek Hill,MIA,WR,,"$18,367,926",18.367926,2024
56,Marcus Williams,BAL,S,,"$18,027,918",18.027918,2024
57,Michael Pittman Jr.,IND,WR,,"$18,000,000",18.0,2024
58,Aaron Rodgers,NYJ,QB,,"$17,161,112",17.161112,2024
59,Ronnie Stanley,BAL,LT/T,,"$17,050,593",17.050593,2024
60,Mark Andrews,BAL,TE,,"$16,907,611",16.907611,2024
61,Braden Smith,IND,RT,,"$16,683,000",16.683,2024
62,Orlando Brown Jr.,CIN,LT,,"$16,398,000",16.398,2024
63,Alvin Kamara,NO,RB,,"$16,163,824",16.163824,2024
64,Lane Johnson,PHI,RT,,"$15,865,000",15.865,2024
65,Bradley Chubb,MIA,LB/OLB,,"$15,813,841",15.813841,2024
66,Foyesade Oluokun,JAX,LB/ILB,,"$15,750,668",15.750668,2024
67,Kolton Miller,LV,LT,,"$15,681,500",15.6815,2024
68,D.J. Reed,NYJ,CB,,"$15,636,165",15.636165,2024
69,Brian Burns,NYG,LB/OLB,,"$15,500,000",15.5,2024
70,Zack Martin,DAL,G,,"$15,500,000",15.5,2024
71,Trevor Lawrence,JAX,QB,,"$15,029,725",15.029725,2024
72,D.K. Metcalf,SEA,WR,,"$15,000,000",15.0,2024
73,Von Miller,BUF,ED/DE,,"$14,820,666",14.820666,2024
74,Rob Havenstein,LAR,RT,,"$14,703,294",14.703294,2024
75,Nick Bosa,SF,ED/DE,,"$14,671,000",14.671,2024
76,Jamel Dean,TB,CB,,"$14,666,343",14.666343,2024
77,Ryan Kelly,IND,C,,"$14,625,000",14.625,2024
78,Elgton Jenkins,GB,G,,"$14,429,412",14.429412,2024
79,Dexter Lawrence,NYG,DL/DT,,"$14,340,482",14.340482,2024
80,Justin Reid,KC,SS,,"$14,250,000",14.25,2024
81,Trevon Diggs,DAL,CB,,"$14,117,647",14.117647,2024
82,Cameron Jordan,NO,ED/DE,,"$13,852,250",13.85225,2024
83,Danielle Hunter,HOU,ED/DE,,"$13,700,000",13.7,2024
84,Jonah Jackson,LAR,G,,"$13,676,745",13.676745,2024
85,Jalen Hurts,PHI,QB,,"$13,558,800",13.5588,2024
86,Larry Ogunjobi,PIT,DL/DE,,"$13,283,333",13.283333,2024
87,Jaylon Johnson,CHI,CB,,"$13,000,000",13.0,2024
88,D.J. Jones,DEN,DL/DT,,"$12,958,334",12.958334,2024
89,Frank Ragnow,DET,C,,"$12,800,000",12.8,2024
90,Derek Carr,NO,QB,,"$12,668,000",12.668,2024
91,Kevin Dotson,LAR,G,,"$12,666,666",12.666666,2024
92,Fred Warner,SF,LB/ILB,,"$12,649,000",12.649,2024
93,Tyler Higbee,LAR,TE,,"$12,608,631",12.608631,2024
94,Cameron Heyward,PIT,DL/DE,,"$12,606,250",12.60625,2024
95,Jonathan Jones,NE,CB,,"$12,573,529",12.573529,2024
96,Deebo Samuel,SF,WR,,"$12,556,165",12.556165,2024
97,Kaleb McGary,ATL,RT,,"$12,500,000",12.5,2024
98,Jalen Thompson,ARI,SS,,"$12,467,750",12.46775,2024
99,Matt Milano,BUF,LB/OLB,,"$12,437,000",12.437,2024
100,Ryan Ramczyk,NO,RT,,"$12,293,321",12.293321,2024
101,George Kittle,SF,TE,,"$12,204,575",12.204575,2024
102,Allen Lazard,NYJ,WR,,"$12,184,000",12.184,2024
103,Joel Bitonio,CLE,G,,"$12,140,985",12.140985,2024
104,Denzel Ward,CLE,CB,,"$12,138,918",12.138918,2024
105,A.J. Brown,PHI,WR,,"$11,878,894",11.878894,2024
106,Sheldon Rankins,CIN,DL/DT,,"$11,705,882",11.705882,2024
107,Jordan Mailata,PHI,LT,,"$11,666,000",11.666,2024
108,Joseph Noteboom,LAR,LT,,"$11,617,647",11.617647,2024
109,Wyatt Teller,CLE,G,,"$11,616,915",11.616915,2024
110,Cole Kmet,CHI,TE,,"$11,600,000",11.6,2024
111,Brandon Scherff,JAX,G,,"$11,567,000",11.567,2024
112,Dion Dawkins,BUF,LT,,"$11,509,833",11.509833,2024
113,James Conner,ARI,RB,,"$11,232,560",11.23256,2024
114,James Daniels,PIT,G,,"$11,166,668",11.166668,2024
115,Joshua Hines-Allen,JAX,ED/DE,,"$11,150,000",11.15,2024
116,Rashan Gary,GB,ED/DE,,"$11,146,138",11.146138,2024
117,Charles Omenihu,KC,ED/DE,,"$10,970,000",10.97,2024
118,Taylor Decker,DET,LT,,"$10,958,000",10.958,2024
