team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
CLE,2020,143.629461,17.823323,199.101772,29.598375,8.95
DAL,2020,108.629975,26.324902,191.282501,26.454777,13.76
NE,2020,103.996819,29.729552,185.249624,25.407947,16.05
NYJ,2020,86.529089,53.587595,182.498749,24.566915,29.36
JAX,2020,87.879404,49.890275,184.288252,23.369347,27.07
PHI,2020,140.155537,23.648938,200.593459,21.506475,11.79
DEN,2020,102.374592,25.38939,195.780141,18.179309,12.97
WAS,2020,131.896856,31.222041,193.135405,15.95985,16.17
MIA,2020,156.50471,39.015271,202.755153,14.96934,19.24
DET,2020,136.316057,29.102142,201.274115,13.034055,14.46
CIN,2020,115.462613,19.508445,197.637354,10.809739,9.87
IND,2020,187.851538,17.354055,231.385518,8.513188,7.5
CHI,2020,163.818846,17.053964,204.713154,7.811988,8.33
LAR,2020,153.700759,38.466148,196.611667,7.270935,19.56
HOU,2020,141.313765,23.481796,210.781361,7.232473,11.14
BAL,2020,135.700177,22.407744,190.989245,6.920153,11.73
LAC,2020,134.191298,14.320352,195.831096,6.579352,7.31
TEN,2020,133.056826,31.74341,214.051508,6.314951,14.83
PIT,2020,146.851577,14.551441,194.669953,6.026871,7.47
LV,2020,165.91748,11.226368,214.145655,5.860656,5.24
NYG,2020,149.574151,21.341139,192.619204,4.820488,11.08
CAR,2020,119.293249,54.072638,204.0393,4.433177,26.5
TB,2020,185.308315,7.80414,199.841623,4.263627,3.91
KC,2020,182.730257,18.09081,216.749367,4.193094,8.35
GB,2020,165.749106,8.741462,199.876795,4.058809,4.37
SF,2020,101.109577,16.677649,202.659073,4.030878,8.23
NO,2020,161.365733,22.53054,194.082268,3.920462,11.61
BUF,2020,200.165512,12.66954,218.228694,2.648254,5.81
ATL,2020,166.160239,30.106983,199.33599,2.57069,15.1
MIN,2020,112.701789,36.982158,195.029407,2.364928,18.96
ARI,2020,134.848837,16.289298,194.162965,2.364707,8.39
SEA,2020,166.465242,16.453168,200.89381,-1.255714,8.19
