rank,team,record,players active,team,salary_cap,cap_space,active 53-man,reserves ir/pup/nfi/susp,dead cap,year,salary_cap_millions,cap_space_millions
1,SF   SF,6-11-0,53,26.9,"$246,996,749","$50,467,685","$138,201,567","$76,435,422","$30,442,060",2024,246.996749,50.467685
2,CLE   CLE,3-14-0,53,26.8,"$248,717,046","$42,034,933","$130,535,406","$74,278,095","$42,497,245",2024,248.717046,42.034933
3,NE   NE,4-13-0,53,26.1,"$229,603,859","$36,456,118","$130,005,536","$32,289,751","$60,985,272",2024,229.603859,36.456118
4,LV   LV,4-13-0,53,25.6,"$226,100,229","$35,897,151","$111,412,545","$62,367,394","$50,307,790",2024,226.100229,35.897151
5,WAS   WAS,12-5-0,53,27.5,"$240,632,456","$24,017,815","$186,228,005","$4,436,939","$47,227,012",2024,240.632456,24.017815
6,DET   DET,15-2-0,52,26.9,"$234,434,840","$23,638,724","$151,659,745","$41,395,684","$39,256,611",2024,234.43484,23.638724
7,DAL   DAL,7-10-0,53,26.4,"$240,414,997","$20,050,038","$97,500,830","$110,943,953","$29,661,014",2024,240.414997,20.050038
8,MIA   MIA,8-9-0,53,27.3,"$238,318,281","$18,415,532","$138,344,211","$39,966,893","$58,059,677",2024,238.318281,18.415532
9,JAX   JAX,4-13-0,53,25.9,"$252,087,967","$16,949,079","$142,873,539","$52,907,841","$53,636,487",2024,252.087967,16.949079
10,GB   GB,11-6-0,52,25.2,"$251,586,978","$16,128,199","$154,542,400","$29,678,165","$64,574,213",2024,251.586978,16.128199
11,TEN   TEN,3-14-0,53,26.4,"$244,563,031","$16,104,336","$142,042,127","$33,772,989","$66,962,715",2024,244.563031,16.104336
12,ARI   ARI,8-9-0,53,26.0,"$257,562,901","$12,940,060","$164,853,997","$58,529,723","$32,166,381",2024,257.562901,12.94006
13,PIT   PIT,10-7-0,51,27.6,"$245,729,158","$12,011,034","$182,613,866","$29,789,420","$30,733,672",2024,245.729158,12.011034
14,IND   IND,8-9-0,53,26.3,"$250,316,091","$10,423,917","$199,356,329","$32,881,659","$15,608,803",2024,250.316091,10.423917
15,MIN   MIN,14-3-0,52,27.3,"$252,563,267","$10,173,975","$164,432,512","$15,353,571","$70,382,084",2024,252.563267,10.173975
16,PHI   PHI,14-3-0,53,25.7,"$250,867,000","$9,366,359","$168,537,310","$16,316,779","$63,634,011",2024,250.867,9.366359
17,TB   TB,10-7-0,53,25.9,"$244,479,945","$8,459,981","$139,250,589","$40,305,885","$62,499,171",2024,244.479945,8.459981
18,SEA   SEA,10-7-0,52,26.1,"$253,363,041","$8,131,185","$170,968,666","$22,353,591","$58,377,484",2024,253.363041,8.131185
19,ATL   ATL,8-9-0,53,27.2,"$253,560,025","$6,461,421","$219,836,480","$16,084,779","$15,187,366",2024,253.560025,6.461421
20,DEN   DEN,10-7-0,52,26.1,"$252,139,493","$6,100,773","$150,535,729","$9,699,102","$89,083,362",2024,252.139493,6.100773
21,CIN   CIN,9-8-0,52,25.6,"$259,321,826","$6,093,862","$185,741,962","$58,054,838","$13,021,226",2024,259.321826,6.093862
22,HOU   HOU,10-7-0,53,26.8,"$253,606,601","$5,762,155","$180,926,822","$28,526,987","$41,631,992",2024,253.606601,5.762155
23,CHI   CHI,5-12-0,53,26.5,"$254,719,369","$5,419,854","$204,948,258","$16,982,678","$30,383,725",2024,254.719369,5.419854
24,LAC   LAC,11-6-0,53,26.6,"$259,842,566","$3,935,185","$183,462,767","$13,004,795","$60,901,604",2024,259.842566,3.935185
25,LAR   LAR,10-7-0,53,25.9,"$254,604,834","$3,097,450","$209,446,790","$6,632,094","$35,854,750",2024,254.604834,3.09745
26,CAR   CAR,5-12-0,51,27.2,"$257,518,445","$2,982,628","$143,766,920","$38,983,472","$73,242,553",2024,257.518445,2.982628
27,NO   NO,5-12-0,53,26.7,"$255,445,276","$2,952,943","$146,456,092","$44,743,154","$62,187,730",2024,255.445276,2.952943
28,NYJ   NYJ,5-12-0,53,26.9,"$258,555,103","$2,526,155","$156,868,920","$37,125,650","$62,318,333",2024,258.555103,2.526155
29,KC   KC,15-2-0,53,26.5,"$250,025,386","$2,167,701","$220,972,465","$9,560,714","$17,019,007",2024,250.025386,2.167701
30,BAL   BAL,12-5-0,54,26.6,"$251,869,610","$1,890,784","$219,432,580","$5,929,914","$23,109,416",2024,251.86961,1.890784
31,NYG   NYG,3-14-0,53,26.3,"$258,881,814","$1,520,288","$116,951,522","$57,877,195","$82,521,697",2024,258.881814,1.520288
32,BUF   BUF,13-4-0,53,26.9,"$256,067,245","$552,172","$175,108,383","$3,205,258","$75,053,004",2024,256.067245,0.552172
