team,year,salary_cap_millions,cap_space_millions
SF   SF,2024,246.996749,50.467685
CLE   CLE,2024,248.717046,42.034933
NE   NE,2024,229.603859,36.456118
LV   LV,2024,226.100229,35.897151
WAS   WAS,2024,240.632456,24.017815
DET   DET,2024,234.43484,23.638724
DAL   DAL,2024,240.414997,20.050038
MIA   MIA,2024,238.318281,18.415532
JAX   JAX,2024,252.087967,16.949079
GB   GB,2024,251.586978,16.128199
TEN   TEN,2024,244.563031,16.104336
ARI   ARI,2024,257.562901,12.94006
PIT   PIT,2024,245.729158,12.011034
IND   IND,2024,250.316091,10.423917
MIN   MIN,2024,252.563267,10.173975
PHI   PHI,2024,250.867,9.366359
TB   TB,2024,244.479945,8.459981
SEA   SEA,2024,253.363041,8.131185
ATL   ATL,2024,253.560025,6.461421
DEN   DEN,2024,252.139493,6.100773
CIN   CIN,2024,259.321826,6.093862
HOU   HOU,2024,253.606601,5.762155
CHI   CHI,2024,254.719369,5.419854
LAC   LAC,2024,259.842566,3.935185
LAR   LAR,2024,254.604834,3.09745
CAR   CAR,2024,257.518445,2.982628
NO   NO,2024,255.445276,2.952943
NYJ   NYJ,2024,258.555103,2.526155
KC   KC,2024,250.025386,2.167701
BAL   BAL,2024,251.86961,1.890784
NYG   NYG,2024,258.881814,1.520288
BUF   BUF,2024,256.067245,0.552172
