team,year,salary_cap_millions,dead_money_millions,cap_space_millions,dead_cap_pct
SF   SF,2024,246.996749,30.44206,50.467685,12.324882867183002
CLE   CLE,2024,248.717046,42.497245,42.034933,17.086583201056513
NE   NE,2024,229.603859,60.985272,36.456118,26.561083191550367
LV   LV,2024,226.100229,50.30779,35.897151,22.250216296773406
WAS   WAS,2024,240.632456,47.227012,24.017815,19.626202044831395
DET   DET,2024,234.43484,39.256611,23.638724,16.745212017121684
DAL   DAL,2024,240.414997,29.661014,20.050038,12.337422527763524
MIA   MIA,2024,238.318281,58.059677,18.415532,24.362242273810292
JAX   JAX,2024,252.087967,53.636487,16.949079,21.27689299822867
GB   GB,2024,251.586978,64.574213,16.128199,25.666754898578258
TEN   TEN,2024,244.563031,66.962715,16.104336,27.38055491306043
ARI   ARI,2024,257.562901,32.166381,12.94006,12.488747748651893
PIT   PIT,2024,245.729158,30.733672,12.011034,12.507132751417313
IND   IND,2024,250.316091,15.608803,10.423917,6.235637084952721
MIN   MIN,2024,252.563267,70.382084,10.173975,27.86711022391075
PHI   PHI,2024,250.867,63.634011,9.366359,25.365636373058237
TB   TB,2024,244.479945,62.499171,8.459981,25.564130014836184
SEA   SEA,2024,253.363041,58.377484,8.131185,23.04104172794484
ATL   ATL,2024,253.560025,15.187366,6.461421,5.9896531403165785
DEN   DEN,2024,252.139493,89.083362,6.100773,35.330983234744586
CIN   CIN,2024,259.321826,13.021226,6.093862,5.021261110509071
HOU   HOU,2024,253.606601,41.631992,5.762155,16.41597333659308
CHI   CHI,2024,254.719369,30.383725,5.419854,11.928313547290548
LAC   LAC,2024,259.842566,60.901604,3.935185,23.437885846616833
LAR   LAR,2024,254.604834,35.85475,3.09745,14.082509525329751
CAR   CAR,2024,257.518445,73.242553,2.982628,28.441672595530004
NO   NO,2024,255.445276,62.18773,2.952943,24.34483462516645
NYJ   NYJ,2024,258.555103,62.318333,2.526155,24.102534537869865
KC   KC,2024,250.025386,17.019007,2.167701,6.806911598968594
BAL   BAL,2024,251.86961,23.109416,1.890784,9.175150586845312
NYG   NYG,2024,258.881814,82.521697,1.520288,31.876204714789274
BUF   BUF,2024,256.067245,75.053004,0.552172,29.309880691690964
