team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
LAC,2026,195.555517,0.478183,196.0337,109.991349,0.24
TEN,2026,218.710032,0.535657,219.245689,102.996963,0.24
LV,2026,182.342759,35.238302,217.581061,98.091006,16.2
NYJ,2026,159.64259,75.621619,235.264209,89.7323,32.14
LAR,2026,234.96829,0.700523,235.668813,81.467444,0.3
WAS,2026,253.817298,0.248311,254.065609,76.367232,0.1
CIN,2026,248.460422,4.748222,248.783644,66.335406,1.91
PIT,2026,248.190454,7.934338,256.124792,65.434982,3.1
SEA,2026,255.93601,0.483724,256.419734,63.958878,0.19
NE,2026,281.850707,20.364345,302.215052,54.037136,6.74
SF,2026,253.401523,21.86374,275.265263,49.154234,7.94
ARI,2026,277.777076,3.934104,272.90618,44.071105,1.44
DEN,2026,262.364766,1.218922,263.583688,42.450639,0.46
IND,2026,267.801235,2.093644,263.699879,41.866371,0.79
CAR,2026,273.671484,9.341094,283.012578,39.840065,3.3
ATL,2026,273.232677,2.235354,275.468031,30.622579,0.81
BAL,2026,272.886132,12.262715,285.148847,29.50956,4.3
TB,2026,291.557095,0.253922,290.926017,21.855911,0.09
PHI,2026,253.233192,40.359938,293.59313,21.037333,13.75
HOU,2026,277.112034,20.92278,298.034814,13.305845,7.02
NYG,2026,298.427533,0.216988,294.984521,11.97221,0.07
CHI,2026,300.360539,0.542995,300.903534,8.399584,0.18
JAX,2026,266.090013,42.000184,308.090197,5.151257,13.63
DET,2026,316.449794,4.35829,320.808084,3.891162,1.36
BUF,2026,302.661979,0.432166,303.094145,2.915786,0.14
CLE,2026,291.348064,39.763849,328.456913,-2.608798,12.11
GB,2026,299.72059,17.171715,316.892305,-4.741471,5.42
MIA,2026,290.156461,35.500635,325.657096,-17.912341,10.9
NO,2026,259.005438,90.590412,342.39585,-28.789503,26.46
DAL,2026,334.035806,24.344178,357.494984,-31.152471,6.81
MIN,2026,353.858377,5.608074,356.811451,-36.670855,1.57
KC,2026,355.121937,0.215642,355.337579,-49.263314,0.06
