team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
CLE,2022,186.52,35.99,19.29,0.412
CAR,2022,202.25,52.46,25.94,0.412
NYJ,2022,202.47,13.76,6.80,0.412
DEN,2022,211.46,34.64,16.38,0.294
LV,2022,199.67,49.55,24.82,0.353
IND,2022,205.81,16.05,7.80,0.265
ATL,2022,201.72,83.60,41.44,0.412
SF,2022,206.08,22.25,10.80,0.765
WAS,2022,208.07,22.38,10.76,0.500
CHI,2022,204.70,93.29,45.57,0.176
DAL,2022,215.34,32.73,15.20,0.706
PHI,2022,219.45,64.49,29.39,0.824
PIT,2022,210.66,36.52,17.34,0.529
MIA,2022,208.56,18.49,8.86,0.529
LAC,2022,212.13,11.07,5.22,0.588
GB,2022,211.85,30.66,14.47,0.471
HOU,2022,210.47,77.92,37.02,0.206
KC,2022,205.25,16.40,7.99,0.824
DET,2022,214.42,34.96,16.30,0.529
NYG,2022,203.67,53.75,26.39,0.559
TB,2022,202.96,25.57,12.60,0.471
JAX,2022,231.23,34.85,15.07,0.529
ARI,2022,204.83,25.84,12.62,0.235
NE,2022,208.00,18.59,8.94,0.471
CIN,2022,210.20,15.80,7.52,0.750
BUF,2022,206.69,25.25,12.22,0.812
SEA,2022,215.80,57.37,26.59,0.529
TEN,2022,209.79,24.81,11.83,0.412
MIN,2022,208.79,28.09,13.45,0.765
LAR,2022,200.27,26.65,13.31,0.294
BAL,2022,204.62,26.72,13.06,0.588
NO,2022,206.83,43.94,21.24,0.412
Totals,2022,6650.54,1154.45,17.36,0.500
Averages,2022,207.83,36.08,17.36,0.500
