player_name_short,position,team_city,penalty_count,penalty_yards,year
K.Nixon,DB,Green Bay,11,92,2025
J.Eluemunor,OL,N.Y. Giants,12,70,2025
J.Latham,OL,Tennessee,13,87,2025
J.Taylor,OL,Kansas City,10,80,2025
C.Davis,DB,New England,13,187,2025
J.Conerly,OL,Washington,9,60,2025
A.Ersery,OL,Houston,9,71,2025
J.Simmons,DL,Tennessee,10,84,2025
A.Terrell,DB,Atlanta,9,98,2025
E.Wilkinson,OL,Atlanta,11,65,2025
R.Moss,DB,Denver,10,203,2025
D.Wright,OL,Chicago,12,95,2025
C.Robinson,OL,Cleveland,8,47,2025
R.Walker,OL,Green Bay,9,55,2025
J.Simpson,OL,N.Y. Jets,11,106,2025
K.Leveston,OL,Cleveland,10,76,2025
A.Membou,OL,N.Y. Jets,8,45,2025
K.Banks,OL,New Orleans,9,65,2025
D.Dawkins,OL,Buffalo,10,65,2025
W.Little,OL,Jacksonville,9,50,2025
D.Lenoir,DB,San Francisco,10,87,2025
T.Smith,OL,Dallas,7,50,2025
T.Woolen,DB,Seattle,8,99,2025
O.Brown,OL,Cincinnati,10,70,2025
B.Murphy,DB,Minnesota,7,40,2025
J.Jobe,DB,Seattle,8,49,2025
P.Paul,OL,Miami,8,47,2025
P.Mekari,OL,Jacksonville,8,65,2025
C.Jones,DL,Kansas City,7,35,2025
T.Howard,OL,Houston,6,55,2025
Ja.Horn,DB,Carolina,7,49,2025
P.Surtain,DB,Denver,9,109,2025
M.Bell,DB,Dallas,6,52,2025
D.Stingley,DB,Houston,8,79,2025
B.Raimann,OL,Indianapolis,7,55,2025
K.Ringo,DB,Philadelphia,9,129,2025
B.Branch,DB,Detroit,7,80,2025
J.Porter,DB,Pittsburgh,6,56,2025
X.Legette,WR,Carolina,7,35,2025
A.Phillips,DB,N.Y. Giants,9,137,2025
G.Barton,OL,Tampa Bay,5,49,2025
M.Lattimore,DB,Washington,7,89,2025
D.Metcalf,WR,Pittsburgh,8,85,2025
J.Simmons,OL,Kansas City,7,55,2025
J.Matthews,OL,Atlanta,8,55,2025
R.Stanley,OL,Baltimore,5,35,2025
M.Garrett,DL,Cleveland,6,29,2025
M.Crosby,DL,Las Vegas,7,44,2025
C.Darrisaw,OL,Minnesota,7,36,2025
I.Ekwonu,OL,Carolina,5,39,2025
N.Bonitto,LB,Denver,8,53,2025
J.Salyer,OL,LA Chargers,8,61,2025
D.Schultz,TE,Houston,8,60,2025
T.Steen,OL,Philadelphia,7,59,2025
T.Fuaga,OL,New Orleans,6,40,2025
M.Harden,DB,Cleveland,7,64,2025
L.Tunsil,OL,Washington,5,34,2025
J.Ward,LB,Tennessee,7,48,2025
J.Ramsey,DB,Pittsburgh,5,34,2025
J.Lewis,DB,Jacksonville,6,56,2025
R.Ya-Sin,DB,Detroit,7,84,2025
J.Kinlaw,DL,Washington,5,34,2025
D.Radunz,OL,New Orleans,7,48,2025
N.Wright,DB,Chicago,6,83,2025
G.Pickens,WR,Dallas,7,90,2025
J.Jones,DB,Miami,8,80,2025
M.Blackmon,DB,Indianapolis,6,92,2025
T.Loop,K,Baltimore,8,0,2025
U.Stout,DB,San Francisco,7,37,2025
T.Ratledge,OL,Detroit,7,55,2025
J.Brownlee,DB,N.Y. Jets,7,51,2025
G.Bolles,OL,Denver,6,44,2025
B.Smith,OL,Indianapolis,5,35,2025
T.Pipkins,OL,LA Chargers,7,38,2025
J.Mailata,OL,Philadelphia,6,45,2025
K.Beachum,OL,Arizona,7,46,2025
K.Pitts,TE,Atlanta,7,39,2025
T.Lawrence,QB,Jacksonville,7,55,2025
L.Wattenberg,OL,Denver,5,35,2025
A.Brown,WR,Philadelphia,7,51,2025
L.Goedeke,OL,Tampa Bay,6,36,2025
J.Carter,DL,Philadelphia,6,56,2025
D.Banks,DB,N.Y. Giants,4,54,2025
J.Tippmann,OL,N.Y. Jets,7,50,2025
J.Franklin-Myers,DL,Denver,5,40,2025
A.Brewer,OL,Miami,4,35,2025
T.Guyton,OL,Dallas,7,49,2025
K.Lassiter,DB,Houston,5,54,2025
J.Jones,DB,Jacksonville,7,94,2025
T.Benedet,OL,Chicago,7,37,2025
K.Suamataia,OL,Kansas City,5,45,2025
Q.Mitchell,DB,Philadelphia,6,94,2025
M.Moses,OL,New England,6,35,2025
D.Reed,DB,Detroit,3,11,2025
K.Chaisson,LB,New England,5,25,2025
D.Moore,OL,Tennessee,3,20,2025
G.Zabel,OL,Seattle,5,40,2025
A.Carter,LB,N.Y. Giants,5,24,2025
W.Campbell,OL,New England,6,35,2025
