player_name,team,position,year,total_contract_value_millions,guaranteed_money_millions
Murray Kyler Murray,ARI,QB,2015,230.5,103.3
Sweat Josh Sweat,ARI,LB,2015,76.4,38.0
McBride Trey McBride,ARI,TE,2015,76.0,32.5
Baker Budda Baker,ARI,S,2015,54.0,17.441667
Thompson Jalen Thompson,ARI,S,2015,36.0,20.17
Harrison Jr. Marvin Harrison Jr.,ARI,WR,2015,35.374742,35.374742
Williams Jonah Williams,ARI,RT,2015,30.0,19.0
Tomlinson Dalvin Tomlinson,ARI,DL,2015,29.0,13.5
Johnson Paris Johnson,ARI,LT,2015,28.052454,28.052454
Nichols Bilal Nichols,ARI,DL,2015,21.0,12.0
Nolen Walter Nolen,ARI,DL,2015,19.36755,19.36755
Conner James Conner,ARI,RB,2015,19.0,8.25
Browning Baron Browning,ARI,LB,2015,15.0,10.0
Collins Zaven Collins,ARI,ED,2015,14.0,11.25
Robinson Darius Robinson,ARI,ED,2015,13.869328,13.869328
Wilson Mack Wilson,ARI,LB,2015,12.75,6.445
Brissett Jacoby Brissett,ARI,QB,2015,12.5,6.5
Froholdt Hjalte Froholdt,ARI,C,2015,12.0,7.25
Brown Evan Brown,ARI,G,2015,11.5,6.0
Davis-Gaither Akeem Davis-Gaither,ARI,LB,2015,10.0,5.0
Johnson Will Johnson,ARI,CB,2015,9.410768,7.660119
Bunting Sean Bunting,ARI,CB,2015,8.975,1.17
Melton Max Melton,ARI,CB,2015,8.888308,6.931266
Ojulari B.J. Ojulari,ARI,ED,2015,8.597606,6.532844
Burch Jordan Burch,ARI,ED,2015,6.489476,1.35962
Benson Trey Benson,ARI,RB,2015,6.059606,1.226984
Adams Isaiah Adams,ARI,G,2015,5.974778,1.165292
Reiman Tip Reiman,ARI,TE,2015,5.789912,1.030844
Jones Elijah Jones,ARI,CB,2015,5.685518,0.95492
Williams Garrett Williams,ARI,CB,2015,5.63493,1.098132
Campbell Calais Campbell,ARI,ED,2015,5.5,4.25
Wilson Michael Wilson,ARI,WR,2015,5.339461,0.883244
Simon Cody Simon,ARI,LB,2015,5.20476,1.00476
Taylor-Demerson Dadrion Taylor-Demerson,ARI,S,2015,4.866844,0.846844
Gaines II Jon Gaines II,ARI,C,2015,4.57224,0.73224
Burke Denzel Burke,ARI,CB,2015,4.520216,0.320216
Conner Hayden Conner,ARI,G,2015,4.37428,0.17428
Crawford Kitan Crawford,ARI,S,2015,4.337892,0.137892
Jones Christian Jones,ARI,RT,2015,4.330456,0.310456
Pappoe Owen Pappoe,ARI,LB,2015,4.084976,0.244976
Clark Kei'Trel Clark,ARI,CB,2015,4.048612,0.208612
Higgins Elijah Higgins,ARI,WR,2015,4.015884,0.175884
Beachum Kelvin Beachum,ARI,RT,2015,4.0,3.49
Stills Dante Stills,ARI,ED,2015,3.973336,0.133336
Blount Joey Blount,ARI,S,2015,3.75,0.4
Gillikin Blake Gillikin,ARI,P,2015,3.7,1.2
Dortch Greg Dortch,ARI,WR,2015,3.263,0.0
Senn Valentin Senn,ARI,G,2015,3.005,0.274
Collier L.J. Collier,ARI,ED,2015,3.0,1.5
Fryar Josh Fryar,ARI,T,2015,3.0,0.269
Keys Austin Keys,ARI,LB,2015,2.98,0.249
Weaver Xavier Weaver,ARI,WR,2015,2.86,0.255
Jacobs Demontrey Jacobs,ARI,LT,2015,2.83,0.0
Thomas V Starling Thomas V,ARI,CB,2015,2.715,0.02
Demercado Emari Demercado,ARI,RB,2015,2.71,0.07
Jones Zay Jones,ARI,WR,2015,2.4,1.3
Carter Zach Carter,ARI,DL,2015,2.315,0.0
Baccellia Andre Baccellia,ARI,WR,2015,2.175,0.0
Brooks Jalen Brooks,ARI,WR,2015,2.175,0.0
Hernandez Will Hernandez,ARI,G,2015,2.17,0.79
Ryland Chad Ryland,ARI,K,2015,1.945,0.0
Palmer Tejhaun Palmer,ARI,WR,2015,1.845,0.0
Slovis Kedon Slovis,ARI,QB,2015,1.845,0.0
King Kalen King,ARI,CB,2015,1.845,0.0
