rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1,Drew Brees,NO,QB,,"$23,800,000",23.8,2015
2,Philip Rivers,SD,QB,,"$21,166,668",21.166668,2015
3,Calvin Johnson,DET,WR,,"$20,558,000",20.558,2015
4,Charles Johnson,CAR,ED,,"$20,020,000",20.02,2015
5,Matt Ryan,ATL,QB,,"$19,500,000",19.5,2015
6,Mario Williams,BUF,ED,,"$19,400,000",19.4,2015
7,Aaron Rodgers,GB,QB,,"$18,250,000",18.25,2015
8,Matthew Stafford,DET,QB,,"$17,721,250",17.72125,2015
9,Peyton Manning,DEN,QB,,"$17,500,000",17.5,2015
10,Ben Roethlisberger,PIT,QB,,"$17,245,000",17.245,2015
11,Robert Quinn,STL,LB,,"$16,744,111",16.744111,2015
12,Jay Cutler,CHI,QB,,"$16,500,000",16.5,2015
13,Darrelle Revis,NYJ,CB,,"$16,000,000",16.0,2015
14,Alex Smith,KC,QB,,"$15,600,000",15.6,2015
15,Adrian Peterson,MIN,RB,,"$15,400,000",15.4,2015
16,Colin Kaepernick,SF,QB,,"$15,265,753",15.265753,2015
17,Tony Romo,DAL,QB,,"$14,973,000",14.973,2015
18,Patrick Peterson,ARI,CB,,"$14,791,491",14.791491,2015
19,Calais Campbell,ARI,DL/DE,,"$14,750,000",14.75,2015
20,A.J. Green,CIN,WR,,"$14,750,000",14.75,2015
21,Gerald McCoy,TB,DL,,"$14,595,000",14.595,2015
22,Joe Flacco,BAL,QB,,"$14,550,000",14.55,2015
23,Eli Manning,NYG,QB,,"$14,450,000",14.45,2015
24,Tom Brady,NE,QB,,"$14,000,000",14.0,2015
25,J.J. Watt,HOU,DL,,"$13,969,000",13.969,2015
26,Demaryius Thomas,DEN,WR,,"$13,200,000",13.2,2015
27,Rodney Hudson,OAK,C,,"$13,000,000",13.0,2015
28,Cam Newton,CAR,QB,,"$13,000,000",13.0,2015
29,Sam Bradford,PHI,QB,,"$12,985,000",12.985,2015
30,Brandon Carr,DAL,CB,,"$12,717,000",12.717,2015
31,Clay Matthews Jr.,GB,ED,,"$12,700,000",12.7,2015
32,Chris Long,STL,ED,,"$12,500,000",12.5,2015
33,Julio Jones,ATL,WR,,"$12,400,000",12.4,2015
34,Vincent Jackson,TB,WR,,"$12,209,777",12.209777,2015
35,Richard Sherman,SEA,CB,,"$12,200,000",12.2,2015
36,Julius Peppers,GB,DL,,"$12,000,000",12.0,2015
37,Ryan Kalil,CAR,C,,"$11,795,000",11.795,2015
38,Johnathan Joseph,HOU,CB,,"$11,750,000",11.75,2015
39,Joe Haden,CLE,CB,,"$11,700,000",11.7,2015
40,D'Brickashaw Ferguson,NYJ,LT,,"$11,698,666",11.698666,2015
41,Vontae Davis,IND,CB,,"$11,250,000",11.25,2015
42,Larry Fitzgerald,ARI,WR,,"$10,850,000",10.85,2015
43,Branden Albert,MIA,LT,,"$10,725,000",10.725,2015
44,Trent Williams,WAS,LT,,"$10,600,388",10.600388,2015
45,Ryan Clady,DEN,LT,,"$10,600,000",10.6,2015
46,Cameron Wake,MIA,ED,,"$10,450,000",10.45,2015
47,Nick Mangold,NYJ,C,,"$10,407,100",10.4071,2015
48,Julius Thomas,JAX,TE,,"$10,300,000",10.3,2015
49,Joe Thomas,CLE,LT,,"$10,200,000",10.2,2015
50,Eric Weddle,SD,FS,,"$10,100,000",10.1,2015
51,Brent Grimes,MIA,CB,,"$10,000,000",10.0,2015
52,Mike Wallace,MIN,WR,,"$9,900,000",9.9,2015
53,Von Miller,DEN,ED/OLB,,"$9,754,000",9.754,2015
54,Pierre Garcon,WAS,WR,,"$9,700,000",9.7,2015
55,Andy Dalton,CIN,QB,,"$9,600,000",9.6,2015
