team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
IND,2019,142.403804,24.497343,196.100572,41.745481,12.49
CLE,2019,156.151812,32.279494,212.753859,32.328127,15.17
PHI,2019,118.556337,21.682104,170.362399,28.538697,12.73
BUF,2019,152.820449,16.935454,174.804987,25.621283,9.69
KC,2019,135.179512,20.952726,166.507002,23.4085,12.58
MIA,2019,60.872168,66.915649,175.757955,21.380539,38.07
TEN,2019,152.774763,13.858861,197.086185,20.789952,7.03
OAK,2019,119.270203,23.644634,173.145802,19.778721,13.66
DAL,2019,148.8498,10.331548,182.367508,18.360084,5.67
DET,2019,93.511403,15.128283,176.627499,17.783369,8.57
HOU,2019,145.821737,27.378439,198.106556,16.210695,13.82
NYJ,2019,96.678757,27.627375,188.464903,14.024951,14.66
WAS,2019,78.588363,13.310481,180.627946,12.923089,7.37
DEN,2019,105.297174,31.91348,182.229585,12.726531,17.51
CHI,2019,140.944391,10.501014,182.861976,12.031237,5.74
SEA,2019,131.01455,26.351929,184.894364,11.890797,14.25
CIN,2019,132.358691,13.714635,184.954951,11.228791,7.42
JAX,2019,122.743628,36.694954,190.540169,10.868564,19.26
SF,2019,166.552577,25.59042,220.650341,10.581233,11.6
TB,2019,150.155466,10.90563,184.939978,10.01902,5.9
CAR,2019,117.133265,14.566817,183.306165,9.040974,7.95
LAR,2019,162.333485,13.604018,180.977365,8.439201,7.52
NE,2019,156.633955,25.72118,192.501047,7.872376,13.36
ATL,2019,132.338075,18.699611,184.246919,5.492872,10.15
GB,2019,163.872581,18.461901,191.756597,5.328829,9.63
LAC,2019,155.395193,9.015689,184.097522,2.968982,4.9
NO,2019,153.202407,22.045611,187.888357,2.116308,11.73
ARI,2019,118.348287,50.898166,192.019927,1.585204,26.51
NYG,2019,125.098384,55.156416,194.612924,1.492067,28.34
MIN,2019,177.166406,8.379795,191.016955,0.805215,4.39
PIT,2019,129.754417,34.440395,206.404929,0.493991,16.69
BAL,2019,139.521776,30.289731,190.028527,-2.323572,15.94
