team,year,active_cap_millions,dead_money_millions,total_cap_millions,cap_space_millions,dead_cap_pct
NE,2025,201.442798,52.096934,270.656713,51.952188,19.25
LV,2025,137.484369,77.146469,289.450284,25.472067,26.65
WAS,2025,172.433663,28.831949,275.844477,23.046736,10.45
DAL,2025,201.412306,54.447235,284.945018,22.042513,19.11
CLE,2025,132.190554,85.067504,304.364783,21.548115,27.95
DET,2025,216.422653,37.517155,286.076779,20.399246,13.11
SF,2025,156.207659,103.625697,321.341385,20.119497,32.25
CAR,2025,188.690923,34.723715,264.727804,18.552643,13.12
TEN,2025,151.784201,62.942146,282.801876,17.942652,22.26
PIT,2025,204.628235,35.262934,268.771691,17.259774,13.12
SEA,2025,172.498274,88.180219,270.31395,16.078612,32.62
MIN,2025,190.067541,27.522316,269.120407,15.840596,10.23
NYJ,2025,95.632343,108.111699,266.831759,13.696509,40.52
ARI,2025,126.356564,29.716964,280.894478,12.630618,10.58
CIN,2025,215.12029,20.747982,276.532721,10.81905,7.5
PHI,2025,185.638474,85.767966,281.033266,10.330463,30.52
BAL,2025,205.598096,31.881343,268.49266,9.945907,11.87
NO,2025,132.795807,109.04564,273.842666,9.306347,39.82
TB,2025,212.07282,50.890048,276.021052,7.981928,18.44
GB,2025,179.161394,60.09606,289.841168,7.850834,20.73
JAX,2025,183.835386,85.308734,290.571373,7.741454,29.36
LAR,2025,198.016193,57.76395,274.182767,7.586257,21.07
HOU,2025,170.929628,66.476453,282.525923,7.040659,23.53
CHI,2025,243.155412,10.029653,280.325837,5.003118,3.58
MIA,2025,149.261338,76.511101,282.407604,3.444755,27.09
NYG,2025,180.795945,35.414705,287.807115,2.656731,12.31
ATL,2025,212.250145,30.097486,283.497798,1.79061,10.62
KC,2025,174.893246,23.723112,285.083913,1.774265,8.32
DEN,2025,209.734842,45.514189,278.891124,1.734327,16.32
LAC,2025,203.236535,41.240314,282.233845,1.725049,14.61
BUF,2025,196.661921,39.631744,276.460267,1.709931,14.34
IND,2025,187.79376,17.419477,289.382159,1.26625,6.02
